Thread,Sentiment Scores,Label,Positive Score
1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
2,"{'neg': 0.011, 'neu': 0.903, 'pos': 0.086, 'compound': 0.8559}",pos,0.086
3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
4,"{'neg': 0.191, 'neu': 0.773, 'pos': 0.035, 'compound': -0.85}",neg,0.035
5,"{'neg': 0.056, 'neu': 0.782, 'pos': 0.162, 'compound': 0.6341}",pos,0.162
6,"{'neg': 0.125, 'neu': 0.811, 'pos': 0.064, 'compound': -0.6486}",neg,0.064
7,"{'neg': 0.048, 'neu': 0.79, 'pos': 0.162, 'compound': 0.8883}",pos,0.162
8,"{'neg': 0.0, 'neu': 0.942, 'pos': 0.058, 'compound': 0.1406}",pos,0.058
9,"{'neg': 0.0, 'neu': 0.937, 'pos': 0.063, 'compound': 0.6355}",pos,0.063
10,"{'neg': 0.136, 'neu': 0.777, 'pos': 0.087, 'compound': -0.128}",neg,0.087
11,"{'neg': 0.0, 'neu': 0.604, 'pos': 0.396, 'compound': 0.7351}",pos,0.396
12,"{'neg': 0.0, 'neu': 0.547, 'pos': 0.453, 'compound': 0.9391}",pos,0.453
13,"{'neg': 0.049, 'neu': 0.716, 'pos': 0.235, 'compound': 0.9575}",pos,0.235
14,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.4019}",pos,0.252
15,"{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.296}",pos,0.121
16,"{'neg': 0.136, 'neu': 0.718, 'pos': 0.146, 'compound': 0.1007}",pos,0.146
17,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4588}",pos,0.231
18,"{'neg': 0.102, 'neu': 0.81, 'pos': 0.088, 'compound': -0.2006}",neg,0.088
19,"{'neg': 0.0, 'neu': 0.916, 'pos': 0.084, 'compound': 0.3919}",pos,0.084
20,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.0772}",pos,0.157
21,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
22,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
23,"{'neg': 0.114, 'neu': 0.743, 'pos': 0.143, 'compound': 0.128}",pos,0.143
24,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
25,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
26,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
27,"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.5719}",pos,0.11
28,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
29,"{'neg': 0.141, 'neu': 0.767, 'pos': 0.092, 'compound': -0.4215}",neg,0.092
30,"{'neg': 0.049, 'neu': 0.913, 'pos': 0.038, 'compound': -0.1462}",neg,0.038
31,"{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.5859}",pos,0.138
32,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
33,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
34,"{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.4939}",pos,0.151
35,"{'neg': 0.0, 'neu': 0.83, 'pos': 0.17, 'compound': 0.2598}",pos,0.17
36,"{'neg': 0.162, 'neu': 0.838, 'pos': 0.0, 'compound': -0.4019}",neg,0.0
37,"{'neg': 0.0, 'neu': 0.972, 'pos': 0.028, 'compound': 0.6956}",pos,0.028
38,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
