Thread,Sentiment Scores,Label,Positive Score
1,"{'neg': 0.12, 'neu': 0.81, 'pos': 0.07, 'compound': -0.5106}",neg,0.07
2,"{'neg': 0.24, 'neu': 0.616, 'pos': 0.145, 'compound': -0.5514}",neg,0.145
3,"{'neg': 0.341, 'neu': 0.659, 'pos': 0.0, 'compound': -0.4767}",neg,0.0
4,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.3612}",pos,0.128
5,"{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.3612}",pos,0.143
6,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
7,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
8,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
9,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.8316}",pos,0.394
10,"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.6419}",pos,0.124
11,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
12,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
14,"{'neg': 0.105, 'neu': 0.895, 'pos': 0.0, 'compound': -0.8462}",neg,0.0
15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
16,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
17,"{'neg': 0.076, 'neu': 0.924, 'pos': 0.0, 'compound': -0.6428}",neg,0.0
18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
19,"{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.6943}",neg,0.0
20,"{'neg': 0.117, 'neu': 0.81, 'pos': 0.073, 'compound': -0.2732}",neg,0.073
21,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
22,"{'neg': 0.025, 'neu': 0.931, 'pos': 0.044, 'compound': 0.4039}",pos,0.044
23,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
24,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
25,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
26,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
27,"{'neg': 0.075, 'neu': 0.741, 'pos': 0.184, 'compound': 0.5212}",pos,0.184
28,"{'neg': 0.0, 'neu': 0.948, 'pos': 0.052, 'compound': 0.296}",pos,0.052
29,"{'neg': 0.077, 'neu': 0.923, 'pos': 0.0, 'compound': -0.3595}",neg,0.0
30,"{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.7717}",pos,0.127
31,"{'neg': 0.014, 'neu': 0.986, 'pos': 0.0, 'compound': -0.0286}",neg,0.0
32,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
33,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
34,"{'neg': 0.0, 'neu': 0.751, 'pos': 0.249, 'compound': 0.7876}",pos,0.249
35,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
36,"{'neg': 0.0, 'neu': 0.328, 'pos': 0.672, 'compound': 0.6249}",pos,0.672
37,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
38,"{'neg': 0.083, 'neu': 0.917, 'pos': 0.0, 'compound': -0.4696}",neg,0.0
39,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
40,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
41,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
42,"{'neg': 0.0, 'neu': 0.835, 'pos': 0.165, 'compound': 0.8271}",pos,0.165
43,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
44,"{'neg': 0.0, 'neu': 0.914, 'pos': 0.086, 'compound': 0.9343}",pos,0.086
45,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
46,"{'neg': 0.047, 'neu': 0.878, 'pos': 0.075, 'compound': 0.5423}",pos,0.075
47,"{'neg': 0.0, 'neu': 0.797, 'pos': 0.203, 'compound': 0.9363}",pos,0.203
48,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
49,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
50,"{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.3612}",pos,0.085
51,"{'neg': 0.025, 'neu': 0.84, 'pos': 0.134, 'compound': 0.8525}",pos,0.134
52,"{'neg': 0.048, 'neu': 0.851, 'pos': 0.102, 'compound': 0.9013}",pos,0.102
53,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
54,"{'neg': 0.0, 'neu': 0.697, 'pos': 0.303, 'compound': 0.5378}",pos,0.303
55,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
56,"{'neg': 0.0, 'neu': 0.807, 'pos': 0.193, 'compound': 0.8225}",pos,0.193
57,"{'neg': 0.033, 'neu': 0.954, 'pos': 0.013, 'compound': -0.4137}",neg,0.013
58,"{'neg': 0.059, 'neu': 0.941, 'pos': 0.0, 'compound': -0.3724}",neg,0.0
59,"{'neg': 0.048, 'neu': 0.795, 'pos': 0.158, 'compound': 0.6124}",pos,0.158
60,"{'neg': 0.0, 'neu': 0.919, 'pos': 0.081, 'compound': 0.4574}",pos,0.081
61,"{'neg': 0.0, 'neu': 0.581, 'pos': 0.419, 'compound': 0.7574}",pos,0.419
62,"{'neg': 0.0, 'neu': 0.95, 'pos': 0.05, 'compound': 0.2263}",pos,0.05
63,"{'neg': 0.022, 'neu': 0.874, 'pos': 0.104, 'compound': 0.9053}",pos,0.104
64,"{'neg': 0.0, 'neu': 0.895, 'pos': 0.105, 'compound': 0.6059}",pos,0.105
65,"{'neg': 0.0, 'neu': 0.852, 'pos': 0.148, 'compound': 0.6767}",pos,0.148
66,"{'neg': 0.0, 'neu': 0.807, 'pos': 0.193, 'compound': 0.6151}",pos,0.193
67,"{'neg': 0.0, 'neu': 0.776, 'pos': 0.224, 'compound': 0.6369}",pos,0.224
68,"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.2732}",pos,0.11
69,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
