Thread,Sentiment Scores,Label,Positive Score
1,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.6652}",pos,0.139
2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
3,"{'neg': 0.036, 'neu': 0.914, 'pos': 0.049, 'compound': -0.0708}",neg,0.049
4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
5,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
6,"{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.4767}",pos,0.22
7,"{'neg': 0.0, 'neu': 0.693, 'pos': 0.307, 'compound': 0.4767}",pos,0.307
8,"{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.0772}",pos,0.085
9,"{'neg': 0.056, 'neu': 0.847, 'pos': 0.097, 'compound': 0.7985}",pos,0.097
10,"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.4588}",pos,0.273
11,"{'neg': 0.06, 'neu': 0.849, 'pos': 0.091, 'compound': -0.0926}",neg,0.091
12,"{'neg': 0.076, 'neu': 0.924, 'pos': 0.0, 'compound': -0.2023}",neg,0.0
13,"{'neg': 0.058, 'neu': 0.909, 'pos': 0.033, 'compound': -0.5346}",neg,0.033
14,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
16,"{'neg': 0.175, 'neu': 0.739, 'pos': 0.085, 'compound': -0.4398}",neg,0.085
17,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.5574}",pos,0.091
18,"{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.1779}",pos,0.096
19,"{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.555}",pos,0.276
20,"{'neg': 0.223, 'neu': 0.711, 'pos': 0.066, 'compound': -0.4767}",neg,0.066
21,"{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.8537}",pos,0.094
22,"{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.1139}",neg,0.0
23,"{'neg': 0.052, 'neu': 0.847, 'pos': 0.101, 'compound': 0.4019}",pos,0.101
24,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
25,"{'neg': 0.036, 'neu': 0.859, 'pos': 0.106, 'compound': 0.5927}",pos,0.106
26,"{'neg': 0.0, 'neu': 0.676, 'pos': 0.324, 'compound': 0.8625}",pos,0.324
27,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
28,"{'neg': 0.147, 'neu': 0.853, 'pos': 0.0, 'compound': -0.4754}",neg,0.0
29,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
30,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
31,"{'neg': 0.201, 'neu': 0.799, 'pos': 0.0, 'compound': -0.7003}",neg,0.0
32,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
33,"{'neg': 0.125, 'neu': 0.795, 'pos': 0.08, 'compound': -0.4954}",neg,0.08
34,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
35,"{'neg': 0.0, 'neu': 0.912, 'pos': 0.088, 'compound': 0.6792}",pos,0.088
36,"{'neg': 0.031, 'neu': 0.969, 'pos': 0.0, 'compound': -0.0772}",neg,0.0
37,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
38,"{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.802}",pos,0.186
39,"{'neg': 0.113, 'neu': 0.824, 'pos': 0.064, 'compound': -0.2716}",neg,0.064
40,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
41,"{'neg': 0.048, 'neu': 0.952, 'pos': 0.0, 'compound': -0.2411}",neg,0.0
42,"{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.34}",pos,0.118
43,"{'neg': 0.0, 'neu': 0.786, 'pos': 0.214, 'compound': 0.4588}",pos,0.214
44,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
45,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.8689}",pos,0.217
46,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.6597}",pos,0.293
47,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
48,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
49,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
50,"{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.4215}",pos,0.104
51,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
52,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
53,"{'neg': 0.0, 'neu': 0.817, 'pos': 0.183, 'compound': 0.8126}",pos,0.183
54,"{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.4019}",pos,0.109
55,"{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.4926}",pos,0.151
56,"{'neg': 0.0, 'neu': 0.885, 'pos': 0.115, 'compound': 0.3612}",pos,0.115
57,"{'neg': 0.146, 'neu': 0.854, 'pos': 0.0, 'compound': -0.0516}",neg,0.0
58,"{'neg': 0.016, 'neu': 0.924, 'pos': 0.06, 'compound': 0.5434}",pos,0.06
