Thread,Sentiment Scores,Label,Positive Score
1,"{'neg': 0.063, 'neu': 0.815, 'pos': 0.121, 'compound': 0.2969}",neu,0.121
2,"{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.8537}",neu,0.143
3,"{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.0772}",neu,0.08
4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
5,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
6,"{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.782}",neu,0.188
7,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
8,"{'neg': 0.027, 'neu': 0.925, 'pos': 0.048, 'compound': 0.4842}",neu,0.048
9,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
10,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
11,"{'neg': 0.068, 'neu': 0.791, 'pos': 0.141, 'compound': 0.3182}",neu,0.141
12,"{'neg': 0.252, 'neu': 0.748, 'pos': 0.0, 'compound': -0.4019}",neu,0.0
13,"{'neg': 0.016, 'neu': 0.965, 'pos': 0.018, 'compound': 0.0772}",neu,0.018
14,"{'neg': 0.0, 'neu': 0.929, 'pos': 0.071, 'compound': 0.0772}",neu,0.071
15,"{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.7269}",neu,0.276
16,"{'neg': 0.028, 'neu': 0.943, 'pos': 0.029, 'compound': 0.0258}",neu,0.029
17,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
18,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.4019}",neu,0.13
19,"{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.69}",neu,0.097
20,"{'neg': 0.037, 'neu': 0.764, 'pos': 0.199, 'compound': 0.8334}",neu,0.199
21,"{'neg': 0.0, 'neu': 0.962, 'pos': 0.038, 'compound': 0.2382}",neu,0.038
22,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
23,"{'neg': 0.101, 'neu': 0.899, 'pos': 0.0, 'compound': -0.6369}",neu,0.0
24,"{'neg': 0.067, 'neu': 0.933, 'pos': 0.0, 'compound': -0.1655}",neu,0.0
25,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}",neu,0.225
26,"{'neg': 0.087, 'neu': 0.913, 'pos': 0.0, 'compound': -0.296}",neu,0.0
27,"{'neg': 0.0, 'neu': 0.893, 'pos': 0.107, 'compound': 0.4588}",neu,0.107
28,"{'neg': 0.0, 'neu': 0.924, 'pos': 0.076, 'compound': 0.5803}",neu,0.076
29,"{'neg': 0.062, 'neu': 0.89, 'pos': 0.048, 'compound': -0.1759}",neu,0.048
30,"{'neg': 0.0, 'neu': 0.763, 'pos': 0.237, 'compound': 0.8271}",neu,0.237
31,"{'neg': 0.033, 'neu': 0.924, 'pos': 0.043, 'compound': 0.1926}",neu,0.043
32,"{'neg': 0.046, 'neu': 0.719, 'pos': 0.235, 'compound': 0.9545}",neu,0.235
33,"{'neg': 0.089, 'neu': 0.768, 'pos': 0.143, 'compound': 0.4424}",neu,0.143
34,"{'neg': 0.108, 'neu': 0.817, 'pos': 0.076, 'compound': -0.3818}",neu,0.076
35,"{'neg': 0.0, 'neu': 0.914, 'pos': 0.086, 'compound': 0.6249}",neu,0.086
36,"{'neg': 0.0, 'neu': 0.988, 'pos': 0.012, 'compound': 0.1154}",neu,0.012
37,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
38,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
39,"{'neg': 0.024, 'neu': 0.923, 'pos': 0.053, 'compound': 0.6783}",neu,0.053
40,"{'neg': 0.038, 'neu': 0.863, 'pos': 0.099, 'compound': 0.4678}",neu,0.099
41,"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.8555}",neu,0.273
42,"{'neg': 0.0, 'neu': 0.963, 'pos': 0.037, 'compound': 0.2023}",neu,0.037
43,"{'neg': 0.0, 'neu': 0.954, 'pos': 0.046, 'compound': 0.395}",neu,0.046
44,"{'neg': 0.0, 'neu': 0.79, 'pos': 0.21, 'compound': 0.4926}",neu,0.21
45,"{'neg': 0.022, 'neu': 0.951, 'pos': 0.028, 'compound': 0.1376}",neu,0.028
46,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
47,"{'neg': 0.0, 'neu': 0.394, 'pos': 0.606, 'compound': 0.7717}",pos,0.606
48,"{'neg': 0.0, 'neu': 0.871, 'pos': 0.129, 'compound': 0.836}",neu,0.129
