Thread,Sentiment Scores,Label,Positive Score
1,"{'neg': 0.125, 'neu': 0.875, 'pos': 0.0, 'compound': -0.631}",neu,0.0
2,"{'neg': 0.14, 'neu': 0.743, 'pos': 0.117, 'compound': -0.292}",neu,0.117
3,"{'neg': 0.137, 'neu': 0.785, 'pos': 0.078, 'compound': -0.4862}",neu,0.078
4,"{'neg': 0.26, 'neu': 0.74, 'pos': 0.0, 'compound': -0.2062}",neu,0.0
5,"{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.7841}",neu,0.18
6,"{'neg': 0.0, 'neu': 0.577, 'pos': 0.423, 'compound': 0.296}",neu,0.423
7,"{'neg': 0.0, 'neu': 0.947, 'pos': 0.053, 'compound': 0.533}",neu,0.053
8,"{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.7964}",neu,0.448
9,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
10,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.9153}",neu,0.375
11,"{'neg': 0.037, 'neu': 0.916, 'pos': 0.047, 'compound': 0.128}",neu,0.047
12,"{'neg': 0.0, 'neu': 0.912, 'pos': 0.088, 'compound': 0.2755}",neu,0.088
13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
14,"{'neg': 0.0, 'neu': 0.793, 'pos': 0.207, 'compound': 0.9109}",neu,0.207
15,"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.1901}",neu,0.149
16,"{'neg': 0.117, 'neu': 0.795, 'pos': 0.088, 'compound': 0.0772}",neu,0.088
17,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.4404}",neu,0.266
18,"{'neg': 0.0, 'neu': 0.971, 'pos': 0.029, 'compound': 0.0772}",neu,0.029
19,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
20,"{'neg': 0.031, 'neu': 0.917, 'pos': 0.052, 'compound': 0.516}",neu,0.052
21,"{'neg': 0.063, 'neu': 0.937, 'pos': 0.0, 'compound': -0.3182}",neu,0.0
22,"{'neg': 0.212, 'neu': 0.788, 'pos': 0.0, 'compound': -0.7184}",neu,0.0
23,"{'neg': 0.083, 'neu': 0.847, 'pos': 0.07, 'compound': -0.2244}",neu,0.07
24,"{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.1655}",neu,0.08
25,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
26,"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.6369}",neu,0.135
27,"{'neg': 0.024, 'neu': 0.718, 'pos': 0.258, 'compound': 0.966}",neu,0.258
28,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
29,"{'neg': 0.209, 'neu': 0.791, 'pos': 0.0, 'compound': -0.7305}",neu,0.0
30,"{'neg': 0.055, 'neu': 0.769, 'pos': 0.177, 'compound': 0.9109}",neu,0.177
31,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
32,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
33,"{'neg': 0.0, 'neu': 0.433, 'pos': 0.567, 'compound': 0.847}",pos,0.567
34,"{'neg': 0.061, 'neu': 0.939, 'pos': 0.0, 'compound': -0.5144}",neu,0.0
35,"{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.3612}",neu,0.094
36,"{'neg': 0.032, 'neu': 0.893, 'pos': 0.075, 'compound': 0.7178}",neu,0.075
37,"{'neg': 0.0, 'neu': 0.431, 'pos': 0.569, 'compound': 0.765}",pos,0.569
38,"{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.5514}",neu,0.245
39,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
40,"{'neg': 0.156, 'neu': 0.817, 'pos': 0.027, 'compound': -0.7096}",neu,0.027
41,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
42,"{'neg': 0.055, 'neu': 0.865, 'pos': 0.08, 'compound': 0.3612}",neu,0.08
43,"{'neg': 0.122, 'neu': 0.766, 'pos': 0.113, 'compound': -0.0516}",neu,0.113
44,"{'neg': 0.0, 'neu': 0.944, 'pos': 0.056, 'compound': 0.3612}",neu,0.056
45,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
46,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
47,"{'neg': 0.179, 'neu': 0.821, 'pos': 0.0, 'compound': -0.9313}",neu,0.0
48,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.6767}",neu,0.275
49,"{'neg': 0.0, 'neu': 0.613, 'pos': 0.387, 'compound': 0.69}",neu,0.387
50,"{'neg': 0.019, 'neu': 0.981, 'pos': 0.0, 'compound': -0.1759}",neu,0.0
51,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.3818}",neu,0.091
52,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
53,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
54,"{'neg': 0.075, 'neu': 0.829, 'pos': 0.096, 'compound': -0.176}",neu,0.096
55,"{'neg': 0.0, 'neu': 0.962, 'pos': 0.038, 'compound': 0.1901}",neu,0.038
56,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
57,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
58,"{'neg': 0.023, 'neu': 0.921, 'pos': 0.056, 'compound': 0.4417}",neu,0.056
59,"{'neg': 0.0, 'neu': 0.935, 'pos': 0.065, 'compound': 0.4404}",neu,0.065
60,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
61,"{'neg': 0.049, 'neu': 0.872, 'pos': 0.078, 'compound': 0.25}",neu,0.078
62,"{'neg': 0.064, 'neu': 0.809, 'pos': 0.127, 'compound': 0.3595}",neu,0.127
63,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
64,"{'neg': 0.176, 'neu': 0.64, 'pos': 0.184, 'compound': 0.0258}",neu,0.184
65,"{'neg': 0.0, 'neu': 0.65, 'pos': 0.35, 'compound': 0.4003}",neu,0.35
66,"{'neg': 0.0, 'neu': 0.911, 'pos': 0.089, 'compound': 0.2144}",neu,0.089
67,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
