Thread,Positivity Scores
1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,"{'neg': 0.142, 'neu': 0.762, 'pos': 0.096, 'compound': -0.3818}"
5,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6,"{'neg': 0.0, 'neu': 0.27, 'pos': 0.73, 'compound': 0.4019}"
7,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.6369}"
9,"{'neg': 0.147, 'neu': 0.853, 'pos': 0.0, 'compound': -0.5362}"
10,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
11,"{'neg': 0.064, 'neu': 0.825, 'pos': 0.112, 'compound': 0.2023}"
12,"{'neg': 0.092, 'neu': 0.845, 'pos': 0.063, 'compound': -0.7003}"
13,"{'neg': 0.023, 'neu': 0.923, 'pos': 0.054, 'compound': 0.3759}"
14,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
15,"{'neg': 0.15, 'neu': 0.734, 'pos': 0.117, 'compound': -0.1093}"
16,"{'neg': 0.162, 'neu': 0.7, 'pos': 0.138, 'compound': 0.002}"
17,"{'neg': 0.0, 'neu': 0.943, 'pos': 0.057, 'compound': 0.1139}"
18,"{'neg': 0.065, 'neu': 0.887, 'pos': 0.048, 'compound': 0.19}"
19,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
20,"{'neg': 0.092, 'neu': 0.86, 'pos': 0.048, 'compound': -0.816}"
21,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
22,"{'neg': 0.038, 'neu': 0.811, 'pos': 0.151, 'compound': 0.743}"
23,"{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.296}"
24,"{'neg': 0.087, 'neu': 0.763, 'pos': 0.151, 'compound': 0.5327}"
25,"{'neg': 0.051, 'neu': 0.889, 'pos': 0.061, 'compound': 0.1179}"
26,"{'neg': 0.101, 'neu': 0.832, 'pos': 0.067, 'compound': -0.0706}"
27,"{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.504}"
28,"{'neg': 0.0, 'neu': 0.728, 'pos': 0.272, 'compound': 0.6249}"
29,"{'neg': 0.02, 'neu': 0.873, 'pos': 0.108, 'compound': 0.8252}"
