Thread,Positivity Scores
1,"{'neg': 0.12, 'neu': 0.81, 'pos': 0.07, 'compound': -0.5106}"
2,"{'neg': 0.24, 'neu': 0.616, 'pos': 0.145, 'compound': -0.5514}"
3,"{'neg': 0.341, 'neu': 0.659, 'pos': 0.0, 'compound': -0.4767}"
4,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.3612}"
5,"{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.3612}"
6,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.8316}"
10,"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.6419}"
11,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
12,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
14,"{'neg': 0.105, 'neu': 0.895, 'pos': 0.0, 'compound': -0.8462}"
15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
16,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
17,"{'neg': 0.076, 'neu': 0.924, 'pos': 0.0, 'compound': -0.6428}"
18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
19,"{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.6943}"
20,"{'neg': 0.117, 'neu': 0.81, 'pos': 0.073, 'compound': -0.2732}"
21,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
22,"{'neg': 0.025, 'neu': 0.931, 'pos': 0.044, 'compound': 0.4039}"
23,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
24,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
25,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
26,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
27,"{'neg': 0.075, 'neu': 0.741, 'pos': 0.184, 'compound': 0.5212}"
28,"{'neg': 0.0, 'neu': 0.948, 'pos': 0.052, 'compound': 0.296}"
29,"{'neg': 0.077, 'neu': 0.923, 'pos': 0.0, 'compound': -0.3595}"
30,"{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.7717}"
31,"{'neg': 0.014, 'neu': 0.986, 'pos': 0.0, 'compound': -0.0286}"
32,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
33,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
34,"{'neg': 0.0, 'neu': 0.751, 'pos': 0.249, 'compound': 0.7876}"
35,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
36,"{'neg': 0.0, 'neu': 0.328, 'pos': 0.672, 'compound': 0.6249}"
37,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
38,"{'neg': 0.083, 'neu': 0.917, 'pos': 0.0, 'compound': -0.4696}"
39,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
40,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
41,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
42,"{'neg': 0.0, 'neu': 0.835, 'pos': 0.165, 'compound': 0.8271}"
43,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
44,"{'neg': 0.0, 'neu': 0.914, 'pos': 0.086, 'compound': 0.9343}"
45,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
46,"{'neg': 0.047, 'neu': 0.878, 'pos': 0.075, 'compound': 0.5423}"
47,"{'neg': 0.0, 'neu': 0.797, 'pos': 0.203, 'compound': 0.9363}"
48,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
49,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
50,"{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.3612}"
51,"{'neg': 0.025, 'neu': 0.84, 'pos': 0.134, 'compound': 0.8525}"
52,"{'neg': 0.048, 'neu': 0.851, 'pos': 0.102, 'compound': 0.9013}"
53,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
54,"{'neg': 0.0, 'neu': 0.697, 'pos': 0.303, 'compound': 0.5378}"
55,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
56,"{'neg': 0.0, 'neu': 0.807, 'pos': 0.193, 'compound': 0.8225}"
57,"{'neg': 0.033, 'neu': 0.954, 'pos': 0.013, 'compound': -0.4137}"
58,"{'neg': 0.059, 'neu': 0.941, 'pos': 0.0, 'compound': -0.3724}"
59,"{'neg': 0.048, 'neu': 0.795, 'pos': 0.158, 'compound': 0.6124}"
60,"{'neg': 0.0, 'neu': 0.919, 'pos': 0.081, 'compound': 0.4574}"
61,"{'neg': 0.0, 'neu': 0.581, 'pos': 0.419, 'compound': 0.7574}"
62,"{'neg': 0.0, 'neu': 0.95, 'pos': 0.05, 'compound': 0.2263}"
63,"{'neg': 0.022, 'neu': 0.874, 'pos': 0.104, 'compound': 0.9053}"
64,"{'neg': 0.0, 'neu': 0.895, 'pos': 0.105, 'compound': 0.6059}"
65,"{'neg': 0.0, 'neu': 0.852, 'pos': 0.148, 'compound': 0.6767}"
66,"{'neg': 0.0, 'neu': 0.807, 'pos': 0.193, 'compound': 0.6151}"
67,"{'neg': 0.0, 'neu': 0.776, 'pos': 0.224, 'compound': 0.6369}"
68,"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.2732}"
69,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
70,"{'neg': 0.022, 'neu': 0.952, 'pos': 0.026, 'compound': 0.6261}"
71,"{'neg': 0.0, 'neu': 0.278, 'pos': 0.722, 'compound': 0.6369}"
72,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
73,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
74,"{'neg': 0.0, 'neu': 0.771, 'pos': 0.229, 'compound': 0.8738}"
75,"{'neg': 0.038, 'neu': 0.962, 'pos': 0.0, 'compound': -0.504}"
76,"{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.5927}"
77,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
78,"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.4404}"
79,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
80,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
81,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
82,"{'neg': 0.0, 'neu': 0.809, 'pos': 0.191, 'compound': 0.4939}"
83,"{'neg': 0.03, 'neu': 0.953, 'pos': 0.017, 'compound': -0.2287}"
84,"{'neg': 0.062, 'neu': 0.937, 'pos': 0.0, 'compound': -0.296}"
85,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
86,"{'neg': 0.055, 'neu': 0.945, 'pos': 0.0, 'compound': -0.5499}"
87,"{'neg': 0.0, 'neu': 0.98, 'pos': 0.02, 'compound': 0.3527}"
88,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
89,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
90,"{'neg': 0.101, 'neu': 0.783, 'pos': 0.115, 'compound': 0.0772}"
91,"{'neg': 0.0, 'neu': 0.914, 'pos': 0.086, 'compound': 0.3919}"
92,"{'neg': 0.062, 'neu': 0.863, 'pos': 0.076, 'compound': 0.2263}"
93,"{'neg': 0.0, 'neu': 0.482, 'pos': 0.518, 'compound': 0.5106}"
94,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
95,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}"
96,"{'neg': 0.0, 'neu': 0.88, 'pos': 0.12, 'compound': 0.8402}"
97,"{'neg': 0.0, 'neu': 0.944, 'pos': 0.056, 'compound': 0.0772}"
98,"{'neg': 0.0, 'neu': 0.964, 'pos': 0.036, 'compound': 0.3612}"
99,"{'neg': 0.043, 'neu': 0.884, 'pos': 0.073, 'compound': 0.5984}"
100,"{'neg': 0.017, 'neu': 0.794, 'pos': 0.189, 'compound': 0.9733}"
101,"{'neg': 0.086, 'neu': 0.631, 'pos': 0.283, 'compound': 0.7052}"
102,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
103,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.3612}"
104,"{'neg': 0.0, 'neu': 0.761, 'pos': 0.239, 'compound': 0.296}"
105,"{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.5204}"
106,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.3612}"
107,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
