Thread,Positivity Scores
1,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.8271}"
2,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}"
3,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.8957}"
4,"{'neg': 0.0, 'neu': 0.939, 'pos': 0.061, 'compound': 0.4767}"
5,"{'neg': 0.027, 'neu': 0.914, 'pos': 0.059, 'compound': 0.4897}"
6,"{'neg': 0.121, 'neu': 0.832, 'pos': 0.047, 'compound': -0.765}"
7,"{'neg': 0.0, 'neu': 0.922, 'pos': 0.078, 'compound': 0.3182}"
8,"{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.34}"
9,"{'neg': 0.072, 'neu': 0.835, 'pos': 0.093, 'compound': 0.2244}"
10,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
11,"{'neg': 0.0, 'neu': 0.858, 'pos': 0.142, 'compound': 0.5129}"
12,"{'neg': 0.0, 'neu': 0.629, 'pos': 0.371, 'compound': 0.6486}"
13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
14,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
15,"{'neg': 0.0, 'neu': 0.947, 'pos': 0.053, 'compound': 0.3612}"
16,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.2023}"
17,"{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.4939}"
18,"{'neg': 0.022, 'neu': 0.881, 'pos': 0.097, 'compound': 0.7673}"
19,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
20,"{'neg': 0.064, 'neu': 0.936, 'pos': 0.0, 'compound': -0.0572}"
21,"{'neg': 0.043, 'neu': 0.879, 'pos': 0.078, 'compound': 0.3094}"
22,"{'neg': 0.0, 'neu': 0.869, 'pos': 0.131, 'compound': 0.8677}"
23,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
24,"{'neg': 0.0, 'neu': 0.952, 'pos': 0.048, 'compound': 0.4404}"
25,"{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.5267}"
26,"{'neg': 0.0, 'neu': 0.841, 'pos': 0.159, 'compound': 0.3527}"
27,"{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.8176}"
28,"{'neg': 0.0, 'neu': 0.585, 'pos': 0.415, 'compound': 0.7269}"
29,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
30,"{'neg': 0.0, 'neu': 0.743, 'pos': 0.257, 'compound': 0.6369}"
31,"{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0.6369}"
32,"{'neg': 0.035, 'neu': 0.847, 'pos': 0.118, 'compound': 0.6945}"
33,"{'neg': 0.0, 'neu': 0.925, 'pos': 0.075, 'compound': 0.4588}"
34,"{'neg': 0.081, 'neu': 0.919, 'pos': 0.0, 'compound': -0.2382}"
35,"{'neg': 0.046, 'neu': 0.713, 'pos': 0.241, 'compound': 0.7436}"
36,"{'neg': 0.026, 'neu': 0.9, 'pos': 0.074, 'compound': 0.4386}"
37,"{'neg': 0.0, 'neu': 0.523, 'pos': 0.477, 'compound': 0.4084}"
38,"{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.3612}"
39,"{'neg': 0.022, 'neu': 0.913, 'pos': 0.065, 'compound': 0.7934}"
40,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
41,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
42,"{'neg': 0.064, 'neu': 0.894, 'pos': 0.042, 'compound': -0.2263}"
43,"{'neg': 0.052, 'neu': 0.948, 'pos': 0.0, 'compound': -0.4939}"
44,"{'neg': 0.103, 'neu': 0.897, 'pos': 0.0, 'compound': -0.2406}"
45,"{'neg': 0.0, 'neu': 0.911, 'pos': 0.089, 'compound': 0.4019}"
46,"{'neg': 0.045, 'neu': 0.955, 'pos': 0.0, 'compound': -0.1779}"
47,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
48,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
49,"{'neg': 0.037, 'neu': 0.846, 'pos': 0.117, 'compound': 0.7059}"
50,"{'neg': 0.0, 'neu': 0.675, 'pos': 0.325, 'compound': 0.9001}"
51,"{'neg': 0.068, 'neu': 0.782, 'pos': 0.15, 'compound': 0.4155}"
52,"{'neg': 0.214, 'neu': 0.786, 'pos': 0.0, 'compound': -0.9562}"
53,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
54,"{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.7276}"
55,"{'neg': 0.0, 'neu': 0.771, 'pos': 0.229, 'compound': 0.8442}"
56,"{'neg': 0.184, 'neu': 0.684, 'pos': 0.132, 'compound': -0.25}"
57,"{'neg': 0.104, 'neu': 0.869, 'pos': 0.027, 'compound': -0.7236}"
58,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
59,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
60,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
61,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
62,"{'neg': 0.029, 'neu': 0.91, 'pos': 0.061, 'compound': 0.2617}"
63,"{'neg': 0.0, 'neu': 0.692, 'pos': 0.308, 'compound': 0.8934}"
64,"{'neg': 0.066, 'neu': 0.934, 'pos': 0.0, 'compound': -0.6124}"
65,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
66,"{'neg': 0.323, 'neu': 0.647, 'pos': 0.029, 'compound': -0.9334}"
67,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4019}"
68,"{'neg': 0.204, 'neu': 0.625, 'pos': 0.171, 'compound': -0.3802}"
69,"{'neg': 0.082, 'neu': 0.778, 'pos': 0.14, 'compound': 0.3612}"
70,"{'neg': 0.068, 'neu': 0.932, 'pos': 0.0, 'compound': -0.4973}"
71,"{'neg': 0.052, 'neu': 0.888, 'pos': 0.06, 'compound': 0.1705}"
72,"{'neg': 0.073, 'neu': 0.86, 'pos': 0.067, 'compound': -0.1027}"
73,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
74,"{'neg': 0.036, 'neu': 0.896, 'pos': 0.068, 'compound': 0.3595}"
75,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
76,"{'neg': 0.133, 'neu': 0.867, 'pos': 0.0, 'compound': -0.1139}"
77,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
78,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4019}"
79,"{'neg': 0.084, 'neu': 0.83, 'pos': 0.085, 'compound': -0.2382}"
80,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
81,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
82,"{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.8176}"
83,"{'neg': 0.022, 'neu': 0.851, 'pos': 0.128, 'compound': 0.8932}"
84,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
85,"{'neg': 0.0, 'neu': 0.773, 'pos': 0.227, 'compound': 0.6124}"
86,"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.5859}"
87,"{'neg': 0.042, 'neu': 0.697, 'pos': 0.261, 'compound': 0.9555}"
88,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.6808}"
89,"{'neg': 0.053, 'neu': 0.898, 'pos': 0.049, 'compound': -0.0516}"
90,"{'neg': 0.095, 'neu': 0.678, 'pos': 0.227, 'compound': 0.4094}"
91,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.4404}"
92,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
93,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
94,"{'neg': 0.088, 'neu': 0.853, 'pos': 0.059, 'compound': -0.4226}"
95,"{'neg': 0.0, 'neu': 0.742, 'pos': 0.258, 'compound': 0.7399}"
96,"{'neg': 0.122, 'neu': 0.851, 'pos': 0.027, 'compound': -0.5983}"
97,"{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.4404}"
98,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}"
99,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
100,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
101,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.4019}"
102,"{'neg': 0.188, 'neu': 0.715, 'pos': 0.097, 'compound': -0.4871}"
103,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
104,"{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.4019}"
105,"{'neg': 0.053, 'neu': 0.947, 'pos': 0.0, 'compound': -0.4696}"
106,"{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.9231}"
107,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
108,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
109,"{'neg': 0.033, 'neu': 0.921, 'pos': 0.045, 'compound': 0.25}"
110,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
111,"{'neg': 0.064, 'neu': 0.857, 'pos': 0.079, 'compound': 0.1263}"
112,"{'neg': 0.151, 'neu': 0.849, 'pos': 0.0, 'compound': -0.611}"
113,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
114,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
115,"{'neg': 0.0, 'neu': 0.962, 'pos': 0.038, 'compound': 0.25}"
116,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
117,"{'neg': 0.029, 'neu': 0.932, 'pos': 0.039, 'compound': 0.104}"
118,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
119,"{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.6597}"
120,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.3612}"
121,"{'neg': 0.022, 'neu': 0.942, 'pos': 0.036, 'compound': 0.161}"
122,"{'neg': 0.113, 'neu': 0.834, 'pos': 0.053, 'compound': -0.7385}"
123,"{'neg': 0.0, 'neu': 0.951, 'pos': 0.049, 'compound': 0.7461}"
124,"{'neg': 0.0, 'neu': 0.912, 'pos': 0.088, 'compound': 0.3612}"
125,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}"
126,"{'neg': 0.0, 'neu': 0.264, 'pos': 0.736, 'compound': 0.4199}"
127,"{'neg': 0.0, 'neu': 0.898, 'pos': 0.102, 'compound': 0.5106}"
128,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
129,"{'neg': 0.0, 'neu': 0.785, 'pos': 0.215, 'compound': 0.6369}"
130,"{'neg': 0.015, 'neu': 0.985, 'pos': 0.0, 'compound': -0.296}"
131,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
132,"{'neg': 0.032, 'neu': 0.807, 'pos': 0.16, 'compound': 0.9022}"
